('n hdbs', 8499)
('adress', 'ADMIRALTY DR 353A', 'lease_commence_date', '2002', 'ntransactions', 43)
('adress', 'ADMIRALTY DR 353B', 'lease_commence_date', '2002', 'ntransactions', 44)
('adress', 'ADMIRALTY DR 353C', 'lease_commence_date', '2002', 'ntransactions', 35)
('adress', 'ADMIRALTY DR 354A', 'lease_commence_date', '2002', 'ntransactions', 40)
('adress', 'ADMIRALTY DR 354B', 'lease_commence_date', '2001', 'ntransactions', 41)
('adress', 'ADMIRALTY DR 354C', 'lease_commence_date', '2001', 'ntransactions', 31)
('adress', 'ADMIRALTY DR 354D', 'lease_commence_date', '2002', 'ntransactions', 27)
('adress', 'ADMIRALTY DR 356A', 'lease_commence_date', '2001', 'ntransactions', 42)
('adress', 'ADMIRALTY DR 356B', 'lease_commence_date', '2001', 'ntransactions', 41)
('adress', 'ADMIRALTY DR 356C', 'lease_commence_date', '2001', 'ntransactions', 47)
('adress', 'ADMIRALTY DR 357', 'lease_commence_date', '2001', 'ntransactions', 47)
('adress', 'ADMIRALTY DR 357A', 'lease_commence_date', '2001', 'ntransactions', 48)
('adress', 'ADMIRALTY DR 357B', 'lease_commence_date', '2001', 'ntransactions', 47)
('adress', 'ADMIRALTY DR 357C', 'lease_commence_date', '2001', 'ntransactions', 43)
('adress', 'ADMIRALTY DR 359', 'lease_commence_date', '2001', 'ntransactions', 37)
('adress', 'ADMIRALTY DR 359A', 'lease_commence_date', '2001', 'ntransactions', 37)
('adress', 'ADMIRALTY DR 359B', 'lease_commence_date', '2001', 'ntransactions', 42)
('adress', 'ADMIRALTY DR 359C', 'lease_commence_date', '2001', 'ntransactions', 37)
('adress', 'ADMIRALTY DR 360A', 'lease_commence_date', '2001', 'ntransactions', 38)
('adress', 'ADMIRALTY DR 360B', 'lease_commence_date', '2001', 'ntransactions', 45)
('adress', 'ADMIRALTY DR 360C', 'lease_commence_date', '2001', 'ntransactions', 49)
('adress', 'ADMIRALTY DR 467', 'lease_commence_date', '2001', 'ntransactions', 76)
('adress', 'ADMIRALTY DR 467A', 'lease_commence_date', '2001', 'ntransactions', 69)
('adress', 'ADMIRALTY DR 467B', 'lease_commence_date', '2001', 'ntransactions', 68)
('adress', 'ADMIRALTY DR 468A', 'lease_commence_date', '2001', 'ntransactions', 42)
('adress', 'ADMIRALTY DR 468B', 'lease_commence_date', '2001', 'ntransactions', 33)
('adress', 'ADMIRALTY DR 468C', 'lease_commence_date', '2001', 'ntransactions', 29)
('adress', 'ADMIRALTY DR 468D', 'lease_commence_date', '2001', 'ntransactions', 27)
('adress', 'ADMIRALTY DR 469', 'lease_commence_date', '2001', 'ntransactions', 62)
('adress', 'ADMIRALTY DR 469A', 'lease_commence_date', '2001', 'ntransactions', 73)
('adress', 'ADMIRALTY DR 469B', 'lease_commence_date', '2001', 'ntransactions', 73)
('adress', 'ADMIRALTY LINK 401', 'lease_commence_date', '2001', 'ntransactions', 47)
('adress', 'ADMIRALTY LINK 402', 'lease_commence_date', '2001', 'ntransactions', 44)
('adress', 'ADMIRALTY LINK 403', 'lease_commence_date', '2001', 'ntransactions', 37)
('adress', 'ADMIRALTY LINK 404', 'lease_commence_date', '2001', 'ntransactions', 52)
('adress', 'ADMIRALTY LINK 405', 'lease_commence_date', '2001', 'ntransactions', 77)
('adress', 'ADMIRALTY LINK 482', 'lease_commence_date', '2004', 'ntransactions', 54)
('adress', 'ADMIRALTY LINK 483', 'lease_commence_date', '2004', 'ntransactions', 50)
('adress', 'ADMIRALTY LINK 484', 'lease_commence_date', '2003', 'ntransactions', 88)
('adress', 'ADMIRALTY LINK 485', 'lease_commence_date', '2003', 'ntransactions', 75)
('adress', 'ADMIRALTY LINK 486', 'lease_commence_date', '2004', 'ntransactions', 61)
('adress', 'ADMIRALTY LINK 487', 'lease_commence_date', '2010', 'ntransactions', 18)
('adress', 'ADMIRALTY LINK 488', 'lease_commence_date', '2010', 'ntransactions', 9)
